episodio,paso_global,recompensa_real,pasos,epsilon,terminated,truncated
3676,853941,95.0,192,0.09999999999999998,True,False
3677,854158,135.0,217,0.09999999999999998,True,False
3678,854317,65.0,159,0.09999999999999998,True,False
3679,854540,105.0,223,0.09999999999999998,True,False
3680,854648,0.0,108,0.09999999999999998,True,False
3681,854734,20.0,86,0.09999999999999998,True,False
3682,855193,190.0,459,0.09999999999999998,True,False
3683,855458,160.0,265,0.09999999999999998,True,False
3684,855617,50.0,159,0.09999999999999998,True,False
3685,855749,75.0,132,0.09999999999999998,True,False
3686,856134,365.0,385,0.09999999999999998,True,False
3687,856408,100.0,274,0.09999999999999998,True,False
3688,856569,85.0,161,0.09999999999999998,True,False
3689,857113,215.0,544,0.09999999999999998,True,False
3690,857637,395.0,524,0.09999999999999998,True,False
3691,857917,175.0,280,0.09999999999999998,True,False
3692,858403,305.0,486,0.09999999999999998,True,False
3693,858596,85.0,193,0.09999999999999998,True,False
3694,858886,100.0,290,0.09999999999999998,True,False
3695,859244,310.0,358,0.09999999999999998,True,False
3696,859726,225.0,482,0.09999999999999998,True,False
3697,860010,145.0,284,0.09999999999999998,True,False
3698,860122,5.0,112,0.09999999999999998,True,False
3699,860305,115.0,183,0.09999999999999998,True,False
3700,860735,210.0,430,0.09999999999999998,True,False
3701,861108,105.0,373,0.09999999999999998,True,False
3702,861575,175.0,467,0.09999999999999998,True,False
3703,861736,90.0,161,0.09999999999999998,True,False
3704,862157,245.0,421,0.09999999999999998,True,False
3705,862314,85.0,157,0.09999999999999998,True,False
3706,862470,65.0,156,0.09999999999999998,True,False
3707,862631,125.0,161,0.09999999999999998,True,False
3708,862783,125.0,152,0.09999999999999998,True,False
3709,862971,95.0,188,0.09999999999999998,True,False
3710,863123,95.0,152,0.09999999999999998,True,False
3711,863326,115.0,203,0.09999999999999998,True,False
3712,863423,0.0,97,0.09999999999999998,True,False
3713,863578,110.0,155,0.09999999999999998,True,False
3714,863732,65.0,154,0.09999999999999998,True,False
3715,863936,105.0,204,0.09999999999999998,True,False
3716,864120,140.0,184,0.09999999999999998,True,False
3717,864414,185.0,294,0.09999999999999998,True,False
3718,864558,75.0,144,0.09999999999999998,True,False
3719,864810,115.0,252,0.09999999999999998,True,False
3720,864968,80.0,158,0.09999999999999998,True,False
3721,865158,50.0,190,0.09999999999999998,True,False
3722,865335,100.0,177,0.09999999999999998,True,False
3723,865877,435.0,542,0.09999999999999998,True,False
3724,866558,375.0,681,0.09999999999999998,True,False
3725,866858,100.0,300,0.09999999999999998,True,False
3726,866941,0.0,83,0.09999999999999998,True,False
3727,867085,85.0,144,0.09999999999999998,True,False
3728,867239,70.0,154,0.09999999999999998,True,False
3729,867439,85.0,200,0.09999999999999998,True,False
3730,867811,230.0,372,0.09999999999999998,True,False
3731,867994,110.0,183,0.09999999999999998,True,False
3732,868160,45.0,166,0.09999999999999998,True,False
3733,868357,170.0,197,0.09999999999999998,True,False
3734,868659,110.0,302,0.09999999999999998,True,False
3735,868867,85.0,208,0.09999999999999998,True,False
3736,869151,120.0,284,0.09999999999999998,True,False
3737,869332,85.0,181,0.09999999999999998,True,False
3738,869543,95.0,211,0.09999999999999998,True,False
3739,869816,195.0,273,0.09999999999999998,True,False
3740,870034,100.0,218,0.09999999999999998,True,False
3741,870515,285.0,481,0.09999999999999998,True,False
3742,871084,300.0,569,0.09999999999999998,True,False
3743,871285,155.0,201,0.09999999999999998,True,False
3744,871707,170.0,422,0.09999999999999998,True,False
3745,871899,130.0,192,0.09999999999999998,True,False
3746,872086,85.0,187,0.09999999999999998,True,False
3747,872234,110.0,148,0.09999999999999998,True,False
3748,872384,80.0,150,0.09999999999999998,True,False
3749,872469,0.0,85,0.09999999999999998,True,False
3750,872656,110.0,187,0.09999999999999998,True,False
3751,872827,70.0,171,0.09999999999999998,True,False
3752,873476,245.0,649,0.09999999999999998,True,False
3753,873965,225.0,489,0.09999999999999998,True,False
3754,874115,90.0,150,0.09999999999999998,True,False
3755,874266,85.0,151,0.09999999999999998,True,False
3756,874419,85.0,153,0.09999999999999998,True,False
3757,874721,370.0,302,0.09999999999999998,True,False
3758,874985,140.0,264,0.09999999999999998,True,False
3759,875186,115.0,201,0.09999999999999998,True,False
3760,875553,290.0,367,0.09999999999999998,True,False
3761,875711,105.0,158,0.09999999999999998,True,False
3762,875984,155.0,273,0.09999999999999998,True,False
3763,876374,220.0,390,0.09999999999999998,True,False
3764,876525,110.0,151,0.09999999999999998,True,False
3765,876806,190.0,281,0.09999999999999998,True,False
3766,876938,70.0,132,0.09999999999999998,True,False
3767,877235,135.0,297,0.09999999999999998,True,False
3768,877425,110.0,190,0.09999999999999998,True,False
3769,877580,85.0,155,0.09999999999999998,True,False
3770,877731,85.0,151,0.09999999999999998,True,False
3771,878017,190.0,286,0.09999999999999998,True,False
3772,878180,110.0,163,0.09999999999999998,True,False
