paso_global,loss,q_promedio,target_promedio,error_td_promedio,beta_per,peso_importancia_promedio,epsilon,tamano_buffer,tiempo_segundos
240000,0.008199317380785942,1.5300116539001465,1.5850512981414795,0.19517958164215088,0.688,0.3241630494594574,0.136,20000,912.4724469184875
241000,0.004934844560921192,1.6190695762634277,1.56809663772583,0.1780114769935608,0.6892,0.20961177349090576,0.13239999999999996,20000,917.0688369274139
242000,0.014414343982934952,1.66981840133667,1.6284048557281494,0.17860272526741028,0.6904,0.5561947822570801,0.12880000000000003,20000,921.5286290645599
243000,0.00251734908670187,1.7584078311920166,1.7537649869918823,0.1191553920507431,0.6916,0.3101581931114197,0.12519999999999998,20000,925.9220559597015
244000,0.009485668502748013,1.5381838083267212,1.5350804328918457,0.16359375417232513,0.6928000000000001,0.49243026971817017,0.12160000000000004,20000,930.3756327629089
245000,0.02177136205136776,1.5724891424179077,1.4922281503677368,0.2629706561565399,0.694,0.47603318095207214,0.118,20000,934.952752828598
246000,0.011277196928858757,1.9854180812835693,1.9773361682891846,0.18174901604652405,0.6952,0.504638671875,0.11439999999999995,20000,939.4365320205688
247000,0.006555754691362381,1.7399691343307495,1.7062087059020996,0.16077043116092682,0.6964,0.36598116159439087,0.11080000000000001,20000,945.2412028312683
248000,0.006580951623618603,1.6347932815551758,1.7060301303863525,0.2015817016363144,0.6976,0.3038654327392578,0.10719999999999996,20000,949.7487599849701
249000,0.009825247339904308,1.5861473083496094,1.5589576959609985,0.19574454426765442,0.6988000000000001,0.41471385955810547,0.10360000000000003,20000,954.3778989315033
250000,0.003610397921875119,1.5629498958587646,1.5240914821624756,0.11931668221950531,0.7,0.36752018332481384,0.09999999999999998,20000,959.0243330001831
251000,0.008646671660244465,1.660935878753662,1.7231826782226562,0.17453822493553162,0.7012,0.4226471185684204,0.09999999999999998,20000,968.2550148963928
252000,0.012469055131077766,1.6905343532562256,1.6773836612701416,0.22805693745613098,0.7024,0.3624827265739441,0.09999999999999998,20000,972.4794728755951
253000,0.01923806592822075,1.7480838298797607,1.707840085029602,0.3060365319252014,0.7036,0.32499003410339355,0.09999999999999998,20000,976.6677010059357
254000,0.004832858219742775,1.7050197124481201,1.7364354133605957,0.14371663331985474,0.7048000000000001,0.3941062390804291,0.09999999999999998,20000,981.1933770179749
255000,0.003585911588743329,1.7223447561264038,1.7790101766586304,0.19245418906211853,0.706,0.19263151288032532,0.09999999999999998,20000,985.6491439342499
256000,0.008151200599968433,1.6891403198242188,1.7886321544647217,0.17455369234085083,0.7072,0.398328572511673,0.09999999999999998,20000,989.9059340953827
257000,0.008043382316827774,1.6712297201156616,1.6716084480285645,0.17161566019058228,0.7084,0.40243440866470337,0.09999999999999998,20000,994.0563769340515
258000,0.010441923514008522,1.7745317220687866,1.8345415592193604,0.20236854255199432,0.7096,0.3666924238204956,0.09999999999999998,20000,998.2239098548889
259000,0.0072893379256129265,1.7903231382369995,1.824834942817688,0.17002330720424652,0.7108000000000001,0.44401782751083374,0.09999999999999998,20000,1002.768816947937
260000,0.0033516075927764177,1.4132623672485352,1.4261510372161865,0.14299243688583374,0.712,0.26439327001571655,0.09999999999999998,20000,1007.117250919342
261000,0.005399742629379034,1.741218090057373,1.6599234342575073,0.1395939290523529,0.7132000000000001,0.41712939739227295,0.09999999999999998,20000,1011.3309187889099
262000,0.006943943444639444,1.6393215656280518,1.6373767852783203,0.18054427206516266,0.7144,0.4241701364517212,0.09999999999999998,20000,1015.9183259010315
263000,0.010191956534981728,1.8889892101287842,1.973385214805603,0.2233923077583313,0.7156,0.3085814416408539,0.09999999999999998,20000,1020.4653370380402
264000,0.005436236038804054,1.5989786386489868,1.587651252746582,0.1658315360546112,0.7168000000000001,0.2898501455783844,0.09999999999999998,20000,1024.9671969413757
265000,0.00863179937005043,1.596560001373291,1.7395105361938477,0.19859173893928528,0.718,0.3826836943626404,0.09999999999999998,20000,1029.6096909046173
266000,0.004858971573412418,1.809011697769165,1.8471996784210205,0.12616132199764252,0.7192000000000001,0.4500713050365448,0.09999999999999998,20000,1034.0692899227142
267000,0.0033645329531282187,1.6966739892959595,1.7105720043182373,0.1482507735490799,0.7204,0.2994861900806427,0.09999999999999998,20000,1038.67245388031
268000,0.006008598953485489,1.4988009929656982,1.6179625988006592,0.18658044934272766,0.7216,0.2703779935836792,0.09999999999999998,20000,1043.0526540279388
269000,0.011630026623606682,1.816090703010559,1.8151929378509521,0.1892886459827423,0.7228000000000001,0.47987669706344604,0.09999999999999998,20000,1047.2387981414795
270000,0.002593305427581072,1.6059794425964355,1.6256093978881836,0.11591209471225739,0.724,0.31767547130584717,0.09999999999999998,20000,1051.516613960266
271000,0.0037768427282571793,1.6788856983184814,1.716758131980896,0.14128664135932922,0.7252000000000001,0.31540897488594055,0.09999999999999998,20000,1055.7001819610596
272000,0.0035669957287609577,1.5719225406646729,1.5568509101867676,0.1144653707742691,0.7264,0.4213964343070984,0.09999999999999998,20000,1059.9171540737152
273000,0.0022634901106357574,1.6544073820114136,1.748288869857788,0.1428810954093933,0.7276,0.20100858807563782,0.09999999999999998,20000,1064.4812459945679
274000,0.0070518492721021175,1.7509859800338745,1.721792221069336,0.1598447859287262,0.7288000000000001,0.4027509093284607,0.09999999999999998,20000,1069.0615720748901
275000,0.0055870418436825275,1.7867518663406372,1.8730286359786987,0.1869664192199707,0.73,0.3068144917488098,0.09999999999999998,20000,1073.5419478416443
276000,0.004794166423380375,1.6968355178833008,1.5947861671447754,0.1477641761302948,0.7312000000000001,0.37137138843536377,0.09999999999999998,20000,1078.0420479774475
277000,0.006650775671005249,1.7861248254776,1.8728599548339844,0.18549688160419464,0.7324,0.33862197399139404,0.09999999999999998,20000,1082.6808619499207
278000,0.004251257516443729,1.7829302549362183,1.7666535377502441,0.13023297488689423,0.7336,0.4014173746109009,0.09999999999999998,20000,1087.1729798316956
279000,0.004120459780097008,1.7349659204483032,1.770872950553894,0.16436989605426788,0.7348000000000001,0.24125292897224426,0.09999999999999998,20000,1091.9203689098358
280000,0.0034563324879854918,1.6243925094604492,1.6479319334030151,0.12299855798482895,0.736,0.3938103914260864,0.09999999999999998,20000,1096.311084985733
281000,0.007847165688872337,1.761866569519043,1.6564337015151978,0.18406617641448975,0.7372000000000001,0.32688772678375244,0.09999999999999998,20000,1100.8680970668793
282000,0.0022696303203701973,1.5145289897918701,1.5514278411865234,0.13927564024925232,0.7384,0.11225290596485138,0.09999999999999998,20000,1105.3910839557648
283000,0.007011488080024719,1.7407702207565308,1.7454113960266113,0.17315366864204407,0.7396,0.4053471088409424,0.09999999999999998,20000,1109.835186958313
284000,0.005393085069954395,1.7660080194473267,1.7711706161499023,0.16132918000221252,0.7407999999999999,0.3713143467903137,0.09999999999999998,20000,1114.3026208877563
285000,0.0031283553689718246,1.8179501295089722,1.822716474533081,0.1466633677482605,0.742,0.2348226010799408,0.09999999999999998,20000,1119.041934967041
286000,0.003390552243217826,1.5985690355300903,1.5544068813323975,0.12403061240911484,0.7432,0.34063732624053955,0.09999999999999998,20000,1123.5404179096222
287000,0.009200824424624443,1.861393690109253,1.7433464527130127,0.2185215950012207,0.7444,0.33373624086380005,0.09999999999999998,20000,1127.7391180992126
288000,0.007089809514582157,1.7850778102874756,1.6896989345550537,0.20252320170402527,0.7456,0.2664148807525635,0.09999999999999998,20000,1131.9527637958527
289000,0.0036021796986460686,1.9145622253417969,1.9130194187164307,0.18040013313293457,0.7467999999999999,0.2032959759235382,0.09999999999999998,20000,1136.1196389198303
290000,0.004765122663229704,1.7041501998901367,1.7448959350585938,0.14891476929187775,0.748,0.30711787939071655,0.09999999999999998,20000,1140.3165819644928
291000,0.004525127355009317,1.8157885074615479,1.8754737377166748,0.20223060250282288,0.7492,0.23117506504058838,0.09999999999999998,20000,1144.856304883957
292000,0.0048912288621068,2.069301128387451,2.156332492828369,0.16933533549308777,0.7504,0.39055585861206055,0.09999999999999998,20000,1149.4001259803772
293000,0.005097058601677418,1.7790720462799072,1.7688065767288208,0.1419573426246643,0.7516,0.38290226459503174,0.09999999999999998,20000,1154.0495119094849
294000,0.006976758595556021,1.7438980340957642,1.783076286315918,0.1757316291332245,0.7527999999999999,0.37328845262527466,0.09999999999999998,20000,1158.7076280117035
295000,0.003035595640540123,1.7707757949829102,1.7330487966537476,0.11825446784496307,0.754,0.3585466146469116,0.09999999999999998,20000,1163.2027881145477
296000,0.0038801059126853943,1.724873661994934,1.7273638248443604,0.12732140719890594,0.7552,0.4104793667793274,0.09999999999999998,20000,1167.7490329742432
297000,0.009504256770014763,1.9595720767974854,1.9500945806503296,0.20055624842643738,0.7564,0.3933714032173157,0.09999999999999998,20000,1172.0063190460205
298000,0.004102295730262995,1.9112722873687744,1.886281132698059,0.16194337606430054,0.7576,0.22534218430519104,0.09999999999999998,20000,1176.4382948875427
299000,0.0049528032541275024,1.9444303512573242,1.9342601299285889,0.16152700781822205,0.7587999999999999,0.27584460377693176,0.09999999999999998,20000,1181.05495595932
300000,0.0024524128530174494,1.8317879438400269,1.8971292972564697,0.146792471408844,0.76,0.21917098760604858,0.09999999999999998,20000,1185.3938949108124
301000,0.0019318342674523592,1.7926716804504395,1.7402276992797852,0.17837023735046387,0.7612,0.12820930778980255,0.09999999999999998,20000,1196.105929851532
302000,0.010269979014992714,1.8639538288116455,1.8231933116912842,0.18559396266937256,0.7624,0.4118989408016205,0.09999999999999998,20000,1200.4199931621552
303000,0.003647414967417717,1.7139427661895752,1.7080535888671875,0.11489451676607132,0.7636000000000001,0.3725101351737976,0.09999999999999998,20000,1204.6494719982147
304000,0.0037856558337807655,1.7990909814834595,1.787226915359497,0.13030193746089935,0.7647999999999999,0.39368724822998047,0.09999999999999998,20000,1208.937686920166
305000,0.0029621708672493696,1.9248073101043701,1.8635700941085815,0.19095301628112793,0.766,0.16793754696846008,0.09999999999999998,20000,1213.1116449832916
306000,0.0056522805243730545,1.8782191276550293,1.911766529083252,0.16741615533828735,0.7672,0.34572428464889526,0.09999999999999998,20000,1217.2792119979858
307000,0.013281328603625298,1.8622493743896484,1.9215290546417236,0.2387116253376007,0.7684,0.35418984293937683,0.09999999999999998,20000,1221.4159989356995
308000,0.00235962076112628,1.7758375406265259,1.8400849103927612,0.12225712090730667,0.7696000000000001,0.23989585041999817,0.09999999999999998,20000,1225.7509529590607
309000,0.006500881165266037,1.7277017831802368,1.6648046970367432,0.16621652245521545,0.7707999999999999,0.3434704840183258,0.09999999999999998,20000,1230.2417631149292
310000,0.002223702147603035,1.789365530014038,1.8105323314666748,0.1291617453098297,0.772,0.2387802004814148,0.09999999999999998,20000,1234.5260138511658
311000,0.003188862232491374,1.8982961177825928,1.8422436714172363,0.13744568824768066,0.7732,0.312053382396698,0.09999999999999998,20000,1239.1408739089966
312000,0.013017697259783745,1.7447938919067383,1.5879915952682495,0.22965098917484283,0.7744,0.4404861330986023,0.09999999999999998,20000,1243.6147708892822
313000,0.00627449806779623,2.1165218353271484,2.1760940551757812,0.1591426134109497,0.7756000000000001,0.4272918701171875,0.09999999999999998,20000,1247.8093769550323
314000,0.009767884388566017,1.7476543188095093,1.7930017709732056,0.17552664875984192,0.7767999999999999,0.454759418964386,0.09999999999999998,20000,1252.417737007141
315000,0.0030205307994037867,1.8303565979003906,1.7765161991119385,0.26202642917633057,0.778,0.09514665603637695,0.09999999999999998,20000,1256.8794920444489
316000,0.002382253296673298,1.6750366687774658,1.714125394821167,0.16027548909187317,0.7792,0.24198830127716064,0.09999999999999998,20000,1261.4561789035797
317000,0.0028938099276274443,1.7297390699386597,1.6873645782470703,0.13178807497024536,0.7804,0.26740896701812744,0.09999999999999998,20000,1266.2699508666992
318000,0.005339113995432854,1.9136393070220947,1.9881325960159302,0.1496131271123886,0.7816000000000001,0.3751887083053589,0.09999999999999998,20000,1270.944090127945
319000,0.002156276721507311,1.74320387840271,1.6859869956970215,0.20406204462051392,0.7827999999999999,0.10799843072891235,0.09999999999999998,20000,1275.4320261478424
320000,0.0022690407931804657,1.941308617591858,1.9483402967453003,0.14160668849945068,0.784,0.2281695455312729,0.09999999999999998,20000,1279.9321610927582
321000,0.007888218387961388,1.7406609058380127,1.6900618076324463,0.18706849217414856,0.7852,0.3539011478424072,0.09999999999999998,20000,1284.468475818634
322000,0.0055631850846111774,1.9396424293518066,1.9539629220962524,0.14808747172355652,0.7864,0.44710659980773926,0.09999999999999998,20000,1288.615728855133
323000,0.004643160849809647,1.9583957195281982,2.0386154651641846,0.14965827763080597,0.7876000000000001,0.3120482265949249,0.09999999999999998,20000,1292.8403940200806
324000,0.004696802236139774,1.807440996170044,1.8789373636245728,0.14612852036952972,0.7888,0.3917117118835449,0.09999999999999998,20000,1296.9352219104767
325000,0.004016255959868431,1.8408522605895996,1.906111240386963,0.2093542516231537,0.79,0.19820891320705414,0.09999999999999998,20000,1301.157881975174
326000,0.003208248410373926,1.9425175189971924,1.9015507698059082,0.10948290675878525,0.7912,0.3567977547645569,0.09999999999999998,20000,1305.4395229816437
327000,0.0034823715686798096,1.7805523872375488,1.7655103206634521,0.1419360488653183,0.7924,0.31730377674102783,0.09999999999999998,20000,1309.8896970748901
328000,0.003059122711420059,1.8702013492584229,1.8538116216659546,0.13638165593147278,0.7936000000000001,0.28665024042129517,0.09999999999999998,20000,1314.4591889381409
329000,0.012774602510035038,2.033567428588867,2.205989360809326,0.215372696518898,0.7948,0.4451581835746765,0.09999999999999998,20000,1319.1695611476898
330000,0.015558280050754547,2.0059313774108887,2.09043550491333,0.28342360258102417,0.796,0.41169288754463196,0.09999999999999998,20000,1323.8978381156921
331000,0.0022702307906001806,1.9038913249969482,1.8401143550872803,0.17616228759288788,0.7972,0.14507873356342316,0.09999999999999998,20000,1328.304897069931
332000,0.006601343862712383,1.8464502096176147,1.8828370571136475,0.20050641894340515,0.7984,0.28904837369918823,0.09999999999999998,20000,1333.0447449684143
333000,0.004917404614388943,1.9884636402130127,1.978092074394226,0.1474795937538147,0.7996000000000001,0.3502722680568695,0.09999999999999998,20000,1337.6098699569702
334000,0.003871277906000614,1.8485405445098877,1.7848587036132812,0.17239324748516083,0.8008,0.22382760047912598,0.09999999999999998,20000,1342.1491000652313
335000,0.005317624658346176,1.746274709701538,1.7736108303070068,0.1993858963251114,0.802,0.2576366364955902,0.09999999999999998,20000,1346.789442062378
336000,0.004983770195394754,1.941775918006897,2.0032896995544434,0.1794147491455078,0.8032,0.26306673884391785,0.09999999999999998,20000,1351.229374885559
337000,0.0045193759724497795,1.7280468940734863,1.6994941234588623,0.15909206867218018,0.8044,0.29326826333999634,0.09999999999999998,20000,1355.6777300834656
338000,0.005329713225364685,1.8636835813522339,1.8756706714630127,0.14514632523059845,0.8056000000000001,0.35877883434295654,0.09999999999999998,20000,1360.2497639656067
339000,0.005191008560359478,1.7471568584442139,1.8010118007659912,0.19288703799247742,0.8068,0.2478594183921814,0.09999999999999998,20000,1364.768494129181
340000,0.00976341962814331,1.8044151067733765,1.7539311647415161,0.20156335830688477,0.808,0.36689937114715576,0.09999999999999998,20000,1369.0701320171356
341000,0.004178076982498169,1.779412031173706,1.7760229110717773,0.15355712175369263,0.8092,0.2856220304965973,0.09999999999999998,20000,1373.3071417808533
342000,0.0053761787712574005,1.815826416015625,1.8283915519714355,0.15220116078853607,0.8104,0.37084776163101196,0.09999999999999998,20000,1377.4834129810333
343000,0.0038315793499350548,2.0585789680480957,2.0357534885406494,0.16461151838302612,0.8116000000000001,0.23918139934539795,0.09999999999999998,20000,1381.6890637874603
344000,0.002303300891071558,1.9983367919921875,2.0145459175109863,0.1664257049560547,0.8128,0.17612671852111816,0.09999999999999998,20000,1385.9205980300903
345000,0.0015962743200361729,1.857020378112793,1.8250081539154053,0.11863669008016586,0.8140000000000001,0.21093116700649261,0.09999999999999998,20000,1390.4533638954163
346000,0.004749766550958157,1.9386467933654785,1.9639934301376343,0.16954413056373596,0.8151999999999999,0.32562971115112305,0.09999999999999998,20000,1395.1536650657654
347000,0.003631738480180502,1.837301254272461,1.8530186414718628,0.11874599754810333,0.8164,0.423339307308197,0.09999999999999998,20000,1399.7966079711914
348000,0.0020289160311222076,1.9908808469772339,1.9336717128753662,0.13946989178657532,0.8176,0.20403996109962463,0.09999999999999998,20000,1404.360179901123
349000,0.003927520476281643,1.9204891920089722,1.9384430646896362,0.1289016306400299,0.8188,0.358642041683197,0.09999999999999998,20000,1408.7551980018616
350000,0.0021599228493869305,1.8441059589385986,1.8718456029891968,0.16771245002746582,0.8200000000000001,0.20250928401947021,0.09999999999999998,20000,1413.4748139381409
351000,0.0022772145457565784,2.041534423828125,2.0728487968444824,0.11874959617853165,0.8211999999999999,0.28089573979377747,0.09999999999999998,20000,1423.194706916809
352000,0.003290934022516012,1.9508250951766968,1.9222784042358398,0.1521891951560974,0.8224,0.2571974992752075,0.09999999999999998,20000,1427.4257190227509
353000,0.005194089375436306,1.9226828813552856,1.9637213945388794,0.15742667019367218,0.8236,0.39640867710113525,0.09999999999999998,20000,1431.6340548992157
354000,0.0022101395297795534,1.9430294036865234,1.9572534561157227,0.1313377320766449,0.8248,0.2939184010028839,0.09999999999999998,20000,1435.7835068702698
355000,0.0021110274828970432,1.854024887084961,1.8162294626235962,0.13699445128440857,0.8260000000000001,0.19537165760993958,0.09999999999999998,20000,1439.9100239276886
356000,0.005763532128185034,2.050896644592285,2.023746967315674,0.16173548996448517,0.8271999999999999,0.3633890450000763,0.09999999999999998,20000,1444.106230020523
357000,0.0029405809473246336,1.9883278608322144,1.9317474365234375,0.1589009165763855,0.8284,0.2350446879863739,0.09999999999999998,20000,1448.2710540294647
358000,0.0019773500971496105,2.042673110961914,1.9956483840942383,0.10523885488510132,0.8296,0.24703070521354675,0.09999999999999998,20000,1452.4165308475494
359000,0.0022969990968704224,2.0224483013153076,2.054069757461548,0.1015360951423645,0.8308,0.2679283320903778,0.09999999999999998,20000,1456.606917142868
360000,0.009893708862364292,2.1209797859191895,1.894418716430664,0.2948731482028961,0.8320000000000001,0.27921438217163086,0.09999999999999998,20000,1460.8330328464508
361000,0.0021970882080495358,1.9144489765167236,1.9345324039459229,0.12167192250490189,0.8331999999999999,0.16821999847888947,0.09999999999999998,20000,1465.0524411201477
